Name,Age,Nationality,Club
Li Tixiang,28,China PR,Guangzhou R&F; FC
L. Watkowiak,22,Germany,SV Wehen Wiesbaden
O. Sangante,27,Senegal,La Berrichonne de Châteauroux
G. Buckley,24,Republic of Ireland,Cork City
K. Jakob,20,Germany,FC Augsburg
Dani Sandoval,20,Spain,Real Oviedo
D. Sosa,26,Argentina,Godoy Cruz
S. Sprangler,23,Austria,Wolfsberger AC
T. Schmidt,24,Germany,VfL Sportfreunde Lotte
I. Chenihi,28,Algeria,Al Fateh
L. Shephard,23,Wales,Forest Green Rovers
K. Dirks Riis,21,Denmark,Esbjerg fB
N. Freeman,22,England,Wycombe Wanderers
B. Garratt,24,England,Crewe Alexandra
H. White,23,England,Mansfield Town
Sui Weijie,35,China PR,Chongqing Dangdai Lifan FC SWM Team
S. Mvibudulu,25,DR Congo,SG Sonnenhof Großaspach
M. Degerlund,20,Sweden,Hammarby IF
M. Al Enazi,34,Saudi Arabia,Al Batin
J. Delem,25,France,Seattle Sounders FC
André Anderson,18,Brazil,US Salernitana 1919
F. Stritzel,24,Germany,SV Darmstadt 98
W. Al Anazi,23,Saudi Arabia,Al Shabab
W. Jobello,24,France,GFC Ajaccio
Luo Xin,28,China PR,Beijing Renhe FC
M. Green,31,England,Lincoln City
T. David,21,Netherlands,ADO Den Haag
A. Danek,23,Poland,Cracovia
F. Mussa,22,Tanzania,CD Tenerife
G. Bolger,29,Republic of Ireland,Shamrock Rovers
G. Glendon,23,England,Carlisle United
D. Caicedo,18,Colombia,Deportivo Cali
D. Oduro,32,Ghana,San Jose Earthquakes
M. Maphangule,26,South Africa,Orlando Pirates
J. Sheehan,23,Wales,Newport County
Jesús Jiménez,24,Spain,Górnik Zabrze
G. Traoré,18,France,Amiens SC
Lee Hyun Woong,30,Korea Republic,Gyeongnam FC
T. Drage,26,Norway,FK Bodø/Glimt
L. Dajaku,17,Germany,VfB Stuttgart
Y. Al Musallam,31,Saudi Arabia,Al Raed
Rayco,21,Spain,CD Lugo
Han Hee Hoon,27,Korea Republic,Daegu FC
H. Muñoz,23,Mexico,Club Tijuana
B. Badiashile,17,France,AS Monaco
C. Porter,34,England,Crewe Alexandra
R. Kitto,23,Australia,Adelaide United
N. Taravel,23,France,Grenoble Foot 38
Y. Verschaeren,16,Belgium,RSC Anderlecht
L. Wilkinson,26,England,Stevenage
M. Osores,21,Argentina,Atlético Tucumán
M. Gueye,20,Senegal,AS Saint-Étienne
I. Bermingham,29,Republic of Ireland,St. Patrick's Athletic
M. Demetriou,28,England,Newport County
N. McGinley,21,England,Forest Green Rovers
N. Shipnoski,20,Germany,SV Wehen Wiesbaden
J. Murray,22,Australia,Central Coast Mariners
J. Mauersberger,33,Germany,TSV 1860 München
S. Ambri,20,France,Valenciennes FC
R. Sattelmaier,30,Germany,SV Darmstadt 98
H. Gjesdal,24,Norway,Kristiansund BK
Yang Shanping,30,China PR,Dalian YiFang FC
M. Pode,32,Sweden,Trelleborgs FF
N. Stierlin,18,Germany,RB Leipzig
A. Startsev,24,Kazakhstan,FC Energie Cottbus
D. Petrovic,25,Serbia,SKN St. Pölten
C. Daniel,30,England,Peterborough United
J. Anderson,22,England,Doncaster Rovers
Kim Sang Won,26,Korea Republic,Jeju United FC
O. Shenton,20,England,Stoke City
N. Rinderknecht,20,Germany,FC Ingolstadt 04
H. Al Habib,23,Saudi Arabia,Ettifaq FC
J. Díaz,19,Mexico,Tigres U.A.N.L.
N. Díaz,19,Chile,CD Palestino
J. Payne,27,England,Crawley Town
M. Pronichev,18,Russia,FC Erzgebirge Aue
A. Dadakdeniz,18,Turkey,Bursaspor
Li Shuai,23,China PR,Dalian YiFang FC
V. Emmersón,22,Congo,Vejle Boldklub
V. Mykolenko,19,Ukraine,Dynamo Kyiv
K. Çelik,18,Turkey,Kayserispor
W. Pawłowski,25,Poland,Górnik Zabrze
Du Jia,25,China PR,Tianjin TEDA FC
J. Knight,20,England,Leicester City
Samuel,21,Spain,CD Tenerife
O. Palmer,26,England,Crawley Town
T. Thomas,22,England,AFC Wimbledon
E. Sanhueza,22,Chile,Audax Italiano
Y. Guzmán,20,Colombia,Envigado FC
J. Schneider,24,Germany,FC St. Pauli
M. Albornoz,30,Sweden,IK Sirius
F. Senninger,22,Germany,SV Meppen
E. Ćivić,22,Bosnia Herzegovina,Sparta Praha
F. Crisanto,27,Honduras,Lobos BUAP
J. Gerezgiher,22,Germany,SG Sonnenhof Großaspach
J. Hoffmann,22,Germany,SG Sonnenhof Großaspach
G. Alcalá,25,Mexico,Querétaro
A. Almendra,18,Argentina,Boca Juniors
A. Dźwigała,22,Poland,Wisła Płock
A. Kenyon,25,England,Morecambe
S. Friðjónsson,22,Iceland,Vålerenga Fotball
F. Illarregui,21,Argentina,Argentinos Juniors
D. Butler,23,England,Newport County
J. Mosquera,21,Colombia,Envigado FC
H. Özkan,20,Turkey,KV Oostende
E. Hewitt,24,Wales,Notts County
Joan Sastre,21,Spain,RCD Mallorca
F. Russo,23,Argentina,RCD Mallorca
J. Nuttall,21,England,Blackburn Rovers
Hélton Carvalhal,26,Brazil,Ceará Sporting Club
A. Rossipal,22,Germany,SV Sandhausen
Wang Shouting,32,China PR,Changchun Yatai FC
C. Montano,26,Colombia,Port Vale
A. Abang,21,Cameroon,New York Red Bulls
Seol Tae Soo,23,Korea Republic,Ulsan Hyundai FC
M. Nalepa,23,Poland,Arka Gdynia
B. Kapacak,18,Turkey,Bursaspor
M. Bülter,25,Germany,1. FC Magdeburg
M. Koné,24,France,ESTAC Troyes
Bae Jae Woo,25,Korea Republic,Ulsan Hyundai FC
O. Shaw,20,Scotland,Hibernian
M. van Kins,19,Netherlands,ADO Den Haag
N. Thaller,19,Argentina,Club Atlético Lanús
Elbis,25,Brazil,Pachuca
Viti,21,Spain,Gimnàstic de Tarragona
M. Kouhyar,20,Afghanistan,Walsall
R. Sutton,32,England,Tranmere Rovers
M. Cullen,26,England,Blackpool
A. Kiwomya,22,England,Doncaster Rovers
J. Sanchez,23,Colombia,Itagüí Leones FC
F. Onyeka,20,Nigeria,FC Midtjylland
C. Krempicki,23,Germany,KFC Uerdingen 05
Marc Vales,28,Andorra,Sandefjord Fotball
F. Rodríguez,22,Switzerland,FC Luzern
I. Lučić,23,Austria,FK Austria Wien
B. Kukeli,34,Albania,FC Sion
A. Fisher,28,England,Yeovil Town
M. Rodriguez,22,United States,Houston Dynamo
A. Dávila,19,Uruguay,Real Sociedad
K. Mawatari,27,Japan,Sanfrecce Hiroshima
D. Hernández,18,Mexico,Guadalajara
Quinti,21,Spain,Villarreal CF
I. Ljubić,21,Austria,TSV Hartberg
C. Arano,23,Bolivia,
F. Barceló,25,Uruguay,Patronato
K. Fukai,23,Japan,Hokkaido Consadole Sapporo
H. Sy,22,Mauritania,Red Star FC
J. Odgaard,19,Denmark,Sassuolo
T. Bunmathan,28,Thailand,Vissel Kobe
M. Willsch,27,Germany,TSV 1860 München
L. Fomba,20,France,AJ Auxerre
C. Huérfano,22,Colombia,Millonarios FC
I. Govea,21,Mexico,Club Atlas
B. Gladwin,26,England,Blackburn Rovers
Huang Zhengyu,21,China PR,Guangzhou R&F; FC
A. Verdugo,20,Argentina,Godoy Cruz
V. Slivka,23,Lithuania,Hibernian
L. Kelly,22,Scotland,Livingston FC
W. Hashimoto,31,Japan,Vissel Kobe
J. Broh Tonye,21,Italy,Padova
A. Kanté,23,Gambia,AS Béziers
S. Strand,25,Sweden,Dalkurd FF
Vitinho,18,Brazil,KSV Cercle Brugge
F. Mayer,20,Germany,Borussia Mönchengladbach
B. Maguire,28,Netherlands,Limerick FC
G. Williams,25,England,Milton Keynes Dons
M. Håkansson,25,Sweden,Trelleborgs FF
F. Kohls,23,Germany,FC Würzburger Kickers
L. Zidane,20,France,Real Madrid
Jeon Hyeon Chul,27,Korea Republic,Daegu FC
J. Weir,22,England,Hull City
M. Rose,35,England,Macclesfield Town
B. Moore,29,England,Bury
D. Mihailovic,19,United States,Chicago Fire
G. Zabret,22,Slovenia,Swansea City
K. Al Kaabi,26,Saudi Arabia,Al Shabab
J. Brown,23,Jamaica,Cambridge United
D. Rosende,32,Chile,CD Palestino
D. Baumgartner,21,Austria,FC Wacker Innsbruck
M. Pantović,21,Serbia,VfL Bochum 1848
M. Goncalves,17,France,Toulouse Football Club
J. Branger-Engone,24,Gabon,Oldham Athletic
R. Renner,24,Austria,SV Mattersburg
R. Hatsuse,20,Japan,Gamba Osaka
Y. Tanaka,29,Japan,Hokkaido Consadole Sapporo
R. Droehnle,19,France,US Orléans Loiret Football
S. McCoulsky,21,England,Southend United
F. Dady Ngoy,28,France,Grenoble Foot 38
M. Dolan,25,England,Newport County
S. Jackson,31,Canada,St. Mirren
D. Oldaker,19,England,Gillingham
R. Basque,23,France,Le Havre AC
Javi Pérez,32,Spain,Extremadura UD
C. Ogilvie,22,England,Gillingham
Z. Elbouzedi,20,Republic of Ireland,Waterford FC
P. Dárdai,19,Germany,Hertha BSC
Prendes,21,Spain,Real Oviedo
G. Ferrari,21,Argentina,San Lorenzo de Almagro
M. Willock,21,England,St. Mirren
E. Riis Jakobsen,20,Denmark,Randers FC
S. Coulibaly,22,France,AS Nancy Lorraine
M. Biamou,27,France,Coventry City
D. Cardozo,31,Argentina,San Martín de San Juan
E. Seidou,26,France,Red Star FC
S. Ohlsson,25,Sweden,Trelleborgs FF
C. Woodman,35,England,Exeter City
V. Leikvoll Moberg,27,Norway,FK Bodø/Glimt
D. Johnson,22,United States,Chicago Fire
L. Öhman,26,Sweden,IF Brommapojkarna
T. Morishima,21,Japan,Sanfrecce Hiroshima
S. Cleveland,24,United States,Chicago Fire
U. Nissilä,22,Finland,SV Zulte-Waregem
J. Thompson,29,England,Rochdale
João Lopes,22,Brazil,Santa Clara
Lee Jin Hyung,30,Korea Republic,Incheon United FC
C. Essers,21,Netherlands,Fortuna Sittard
F. Franks,27,England,Newport County
J. Campbell-Ryce,35,Jamaica,Stevenage
M. Etuin,22,France,FC Lorient
Jung San,29,Korea Republic,Incheon United FC
Liu Yu,33,China PR,Chongqing Dangdai Lifan FC SWM Team
C. Hamilton,23,England,Mansfield Town
I. McShane,25,Scotland,St. Mirren
Y. Misao,27,Japan,Kashima Antlers
M. Pribula,32,Slovakia,Zagłębie Sosnowiec
J. Grimes,27,England,Macclesfield Town
E. Nouri,32,Azerbaijan,Kalmar FF
J. Murphy,36,Republic of Ireland,Bury
Martí Vilá,19,Spain,CF Reus Deportiu
K. Piedrahita,27,United States,La Equidad
Seo Young Jae,23,Korea Republic,MSV Duisburg
Y. Songo'o,26,Cameroon,Plymouth Argyle
Lang Zheng,31,China PR,Hebei China Fortune FC
J. Matt,28,Jamaica,Newport County
J. Yates,21,England,Carlisle United
A. Baker,21,Wales,Sheffield Wednesday
I. Morales,18,Chile,Colo-Colo
M. Verreth,20,Belgium,PSV
Zhu Ting,32,China PR,Dalian YiFang FC
E. Bajrami,25,FYR Macedonia,SKN St. Pölten
A. Mangan,31,England,Accrington Stanley
K. Baccus,20,Australia,Western Sydney Wanderers
T. Antalyalı,23,Turkey,BB Erzurumspor
S. Takahashi,26,Japan,Júbilo Iwata
A. Ramsdale,20,England,Bournemouth
S. Sørli,22,Norway,Kristiansund BK
Choi Hyun Tae,30,Korea Republic,Jeju United FC
Jefté,24,Spain,SV Mattersburg
G. Crociata,20,Italy,Crotone
V. Pinson,22,France,Stade de Reims
D. Williams,30,England,Accrington Stanley
K. Lejeune,33,France,AC Ajaccio
D. Avounou,20,Congo,US Orléans Loiret Football
S. Barreto,19,Argentina,Independiente
T. Sawada,27,Japan,V-Varen Nagasaki
T. Payne,24,New Zealand,
M. Yamane,24,Japan,Shonan Bellmare
J. Dem,25,Germany,SG Sonnenhof Großaspach
Ba Dun,22,China PR,Beijing Sinobo Guoan FC
A. Georgiou,21,Cyprus,Tottenham Hotspur
Álex Blanco,19,Spain,Valencia CF
J. Kotzke,28,Germany,FC Ingolstadt 04
I. Varone,25,Italy,Cosenza
J. Cejas,20,Argentina,Estudiantes de La Plata
T. Söderström,24,Sweden,IF Brommapojkarna
Fran Serrano,23,Spain,Granada CF
K. Fujimoto,32,Japan,Cerezo Osaka
I. Moreno,20,Mexico,Club América
Lucas Rodrigues,18,Brazil,Moreirense FC
S. Slocombe,30,England,Lincoln City
J. Araya,22,Chile,Colo-Colo
A. Palumbo,21,Italy,US Salernitana 1919
J. Wehrmann,19,Netherlands,Feyenoord
R. Taillan,26,France,AS Béziers
C. Sabaly,19,Senegal,FC Metz
M. Phaeton,18,France,En Avant de Guingamp
P. Uscanga,27,Mexico,Querétaro
J. Konings,20,Netherlands,Heracles Almelo
A. Ndiaye,18,Senegal,FC Metz
A. Groiß,20,Germany,Karlsruher SC
C. Gameiro,25,Australia,Central Coast Mariners
I. Buckley-Ricketts,20,England,Peterborough United
F. Ahumada,22,Chile,CD Palestino
A. Vaikla,21,Estonia,Kristiansund BK
Kike,21,Spain,Real Valladolid CF
A. Al Asmari,21,Saudi Arabia,Ohod Club
A. Roldan,21,United States,Seattle Sounders FC
D. Amankwaa,24,Denmark,Heart of Midlothian
S. Balić,28,Montenegro,Zagłębie Lubin
S. Griffin,23,Republic of Ireland,Cork City
M. Sadílek,19,Czech Republic,PSV
G. Jansson,32,Sweden,IFK Norrköping
C. Duffus,22,Republic of Ireland,Waterford FC
F. Escales,22,France,Olympique de Marseille
A. Silva Quiroga,25,Uruguay,San Martín de San Juan
C. Humphreys-Grant,19,England,Manchester City
N. Sakemoto,33,Japan,Cerezo Osaka
G. Rodríguez,24,Uruguay,San Martín de San Juan
J. Teze,18,Netherlands,PSV
A. Tanaka,19,Japan,Kawasaki Frontale
H. Kyprianou,21,Cyprus,Southend United
S. Otsuki,29,Japan,Vissel Kobe
Y. Kimoto,24,Japan,Cerezo Osaka
Baba Fernandes,18,Guinea Bissau,Vitória de Setúbal
L. Walthert,34,Switzerland,Neuchâtel Xamax
E. Ávila,31,Colombia,Jaguares de Córdoba
P. Puchegger,23,Austria,SKN St. Pölten
Aarón,22,Spain,Granada CF
B. Clarke,32,Republic of Ireland,St. Patrick's Athletic
L. Grorud,34,Norway,Sandefjord Fotball
J. Kitolano,18,Norway,Wolverhampton Wanderers
Zhang Yu,24,China PR,Beijing Sinobo Guoan FC
O. Banks,25,England,Tranmere Rovers
C. Ponce,26,Chile,CD Everton de Viña del Mar
Abeledo,22,Spain,Gimnàstic de Tarragona
A. McDonald,17,Scotland,Heart of Midlothian
J. Laurent,23,England,Shrewsbury
K. Nakamura,17,Japan,Gamba Osaka
T. Davies,26,England,Coventry City
W. Piñones,30,Chile,Unión La Calera
A. Nouri,23,France,AS Béziers
A. Tideman,25,Sweden,Trelleborgs FF
H. Robstad,27,Norway,IK Start
K. Goden,19,Germany,1. FC Nürnberg
S. Al Shehri,24,Saudi Arabia,Al Raed
Alberto Redondo,21,Spain,Getafe CF
K. Shimura,22,Japan,Júbilo Iwata
A. Connolly,18,Republic of Ireland,Brighton & Hove Albion
H. Davis,26,England,Grimsby Town
M. Festa,26,Italy,Crotone
M. McGlinchey,31,New Zealand,Central Coast Mariners
M. Siabanis,18,Greece,PAOK
Z. Ljubijankič,34,Slovenia,Urawa Red Diamonds
Miguel Ángel,20,Spain,Getafe CF
R. Murray,26,Republic of Ireland,Sligo Rovers
Y. Ma-Kalambay,32,DR Congo,Wycombe Wanderers
Borja Domingo,22,Spain,CA Osasuna
Kim Geon Ung,20,Korea Republic,Ulsan Hyundai FC
R. Sawakami,24,Japan,Cerezo Osaka
E. Bwomono,19,England,Southend United
M. Erlic,20,Croatia,Spezia
I. Osbourne,30,England,Walsall
R. Herrmann,24,Germany,FC Erzgebirge Aue
B. Al Seliteen,27,Saudi Arabia,Al Raed
H. Hauksson,26,Iceland,AIK
D. Gonzalez,20,Chile,CD O'Higgins
J. Verdugo,21,Chile,CD Huachipato
A. Hasegawa,29,Japan,Nagoya Grampus
J. Marulanda,22,Colombia,Itagüí Leones FC
M. Vallecilla,27,Colombia,Atlético Bucaramanga
P. Choroba,22,Germany,SG Sonnenhof Großaspach
D. Guidi,22,France,GFC Ajaccio
W. Decas,18,Honduras,CD Nacional
M. Marić,22,Croatia,Lillestrøm SK
M. Tombakti,24,Saudi Arabia,Ohod Club
A. Castro-Montes,21,Belgium,KAS Eupen
L. Hemmerich,20,Germany,FC Erzgebirge Aue
E. García,20,Mexico,Club Atlas
L. Reddy,36,Australia,Perth Glory
G. Ávalos,27,Paraguay,Godoy Cruz
N. Sakurauchi,28,Japan,Júbilo Iwata
H. Ndam,19,Cameroon,New York Red Bulls
Ricardo Friedrich,25,Brazil,FK Bodø/Glimt
Jeong Tae Wook,21,Korea Republic,Jeju United FC
M. Lode,25,Norway,FK Bodø/Glimt
S. Rhein,20,Germany,1. FC Nürnberg
O. Karlsson,21,Iceland,Trelleborgs FF
F. Arkenberg,22,Germany,Hallescher FC
D. Pérez,18,Venezuela,Colo-Colo
Rubén Enri,20,Spain,CF Reus Deportiu
M. Simon,32,Australia,Central Coast Mariners
P. Magnín,28,Argentina,San Martín de San Juan
A. Mostafa,20,Egypt,KAA Gent
T. Aldred,27,Scotland,Motherwell
João Pereira,28,Portugal,SønderjyskE
F. Álvarez,23,Argentina,Belgrano de Córdoba
V. Gyökeres,20,Sweden,Brighton & Hove Albion
P. Beruatto,19,Italy,Juventus
E. Dahlin,29,Sweden,IFK Göteborg
J. Papaleo,24,Argentina,Unión de Santa Fe
D. Šarić,21,Bosnia Herzegovina,Carpi
T. Field,21,Republic of Ireland,Cheltenham Town
D. Córdoba,31,Colombia,Jaguares de Córdoba
E. Figueroa,27,Sweden,IF Brommapojkarna
J. Shea,27,England,Luton Town
A. Al Nazera,25,Saudi Arabia,Al Fateh
Zheng Kaimu,26,China PR,Guizhou Hengfeng FC
S. Humphrys,20,England,Scunthorpe United
D. Sterling,18,England,Coventry City
K. Michalak,20,Poland,Lechia Gdańsk
E. Ogude,24,Nigeria,Vendsyssel FF
K. Kennedy,24,England,Shrewsbury
C. Koca,22,Turkey,Fenerbahçe SK
O. Balanta,30,Colombia,Boyacá Chicó FC
A. Karazor,21,Germany,Holstein Kiel
T. Doornbusch,18,Netherlands,SC Heerenveen
S. Polat,21,Turkey,Atiker Konyaspor
A. Lassiter,23,Costa Rica,LA Galaxy
G. Miller,19,England,Bradford City
C. Brittain,20,England,Milton Keynes Dons
J. Champness,21,Australia,Newcastle Jets
E. Jonassen Sætervik,25,Norway,FK Bodø/Glimt
C. Kane,23,Scotland,St. Johnstone FC
M. Brouwer,25,Netherlands,Heracles Almelo
P. Maronilli,20,Italy,Cittadella
M. Frankoch,22,Denmark,Vendsyssel FF
L. Bender,30,Germany,FC Energie Cottbus
A. Ildız,21,Turkey,Yeni Malatyaspor
A. Dabo,17,France,FC Nantes
S. Odey,20,Nigeria,FC Zürich
M. Zemzemi,18,Tunisia,RC Strasbourg Alsace
T. Takagi,25,Japan,Kashiwa Reysol
I. Cissé,22,France,Angers SCO
R. Kaib,21,Sweden,IF Elfsborg
S. Adekoya,22,United States,Vendsyssel FF
F. Motori,22,Sweden,Trelleborgs FF
I. Diarra,20,France,FC Girondins de Bordeaux
L. Price,33,Wales,Rotherham United
T. Socha,30,Poland,Arka Gdynia
V. Tankovskyi,22,Ukraine,Shakhtar Donetsk
A. Adouyev,19,France,Montpellier HSC
I. Dresevic,21,Sweden,IF Elfsborg
J. Devitt,27,Republic of Ireland,Carlisle United
P. Maiorino,29,Italy,Livorno
Kim Ji Min,25,Korea Republic,Pohang Steelers
S. Dooley,26,Northern Ireland,Rochdale
B. White,20,England,Brighton & Hove Albion
A. Sevinç,19,Turkey,Trabzonspor
P. Struijk,18,Netherlands,Leeds United
J. Estrada,20,Mexico,Club Atlas
M. Reuvers,19,Netherlands,NAC Breda
F. Pereyra,29,Argentina,CD Huachipato
S. Poulsen,33,Denmark,SønderjyskE
A. Cervantes,20,Mexico,Guadalajara
I. Marega,20,France,Stade Malherbe Caen
S. Czajkowski,21,Denmark,Vendsyssel FF
M. Insaurralde,19,Argentina,San Lorenzo de Almagro
P. Heigre,23,Norway,Strømsgodset IF
K. Garcia,27,United States,Houston Dynamo
A. Edun,20,England,Ipswich Town
S. Cordero,22,Chile,CD Antofagasta
J. Ramírez,21,Colombia,Atlético Nacional
C. Jones,17,England,Liverpool
A. Nabi,24,England,Dundee FC
D. Al Saeed,27,Saudi Arabia,Al Hazem
B. Meredith,28,United States,Seattle Sounders FC
L. Cole,25,England,Tranmere Rovers
F. Medina,19,Argentina,Club Atlético Talleres
D. Anyembe,19,Denmark,Esbjerg fB
Meseguer,18,Spain,Rayo Vallecano
C. Roberts,21,England,Newcastle United
O. Rommens,23,Belgium,NAC Breda
J. Robinson,24,United States,DC United
B. Collins,21,England,Burton Albion
R. Torres,21,Mexico,Tigres U.A.N.L.
J. Méndez,20,Argentina,Argentinos Juniors
W. Bracamonte,20,Argentina,Unión de Santa Fe
I. Pedrelli,32,Italy,Livorno
Kim Jong Min,25,Korea Republic,Suwon Samsung Bluewings
E. Nolan,29,Republic of Ireland,Crewe Alexandra
M. Cortés,21,Colombia,Jaguares de Córdoba
R. Hunt,22,England,Oldham Athletic
C. Dyson,21,England,Plymouth Argyle
P. O'Connor,20,Republic of Ireland,Blackpool
N. Beyer,21,Germany,FSV Zwickau
F. Gattoni,19,Argentina,San Lorenzo de Almagro
J. Ayala,27,Mexico,Boyacá Chicó FC
Oh Se Hun,19,Korea Republic,Ulsan Hyundai FC
A. Donkor,20,Germany,FC Hansa Rostock
S. Condé,25,Guinea,La Berrichonne de Châteauroux
A. Nicholls,30,England,Crewe Alexandra
H. Souttar,19,Scotland,Stoke City
Kim Min Tae,24,Korea Republic,Hokkaido Consadole Sapporo
E. Cicerelli,23,Italy,Foggia
T. Miller,28,England,Bury
J. Trtovac,31,Serbia,BB Erzurumspor
J. Sterry,22,England,Newcastle United
H. Al Shuwaysh,29,Saudi Arabia,Al Raed
A. Andersson,21,Sweden,BK Häcken
E. Sánchez,18,Mexico,Pachuca
J. Willock,18,England,Arsenal
C. Wehan,24,United States,San Jose Earthquakes
S. Kchouk,24,Tunisia,FC St. Gallen
M. Bridge,32,Australia,Western Sydney Wanderers
Xu Xin,24,China PR,Guangzhou Evergrande Taobao FC
M. Gallegos,21,Argentina,Unión de Santa Fe
P. Kpozo,20,Ghana,Östersunds FK
K. Fila,20,Poland,Lechia Gdańsk
A. May,24,England,Doncaster Rovers
Y. Akgün,17,Turkey,Galatasaray SK
F. Buchacher,30,Austria,FC Wacker Innsbruck
C. Thompson,24,England,Wycombe Wanderers
E. Vignato,17,Italy,Chievo Verona
F. Otárola,32,Argentina,Club Deportes Temuco
N. Kikuchi,33,Japan,Hokkaido Consadole Sapporo
B. Bingham,27,England,Gillingham
N. Lemus,29,Colombia,Envigado FC
J. Aros,22,Chile,Club Deportes Temuco
A. Sissako,20,France,La Berrichonne de Châteauroux
F. Sivetti,20,Argentina,Estudiantes de La Plata
Jorge Mier,19,Spain,Real Oviedo
S. Schreck,19,Germany,Bayer 04 Leverkusen
A. Dursun,19,Turkey,Trabzonspor
A. Ciss,18,Senegal,Fortuna Sittard
F. Al Shammari,37,Saudi Arabia,Al Fayha
Raúl Vallejo,22,Spain,CD Numancia
J. Ščuk,27,Bosnia Herzegovina,BB Erzurumspor
G. Postma,20,Netherlands,FC Groningen
M. Sejmenovic,32,Bosnia Herzegovina,Neuchâtel Xamax
Jiang Jihong,28,China PR,Guangzhou R&F; FC
Y. Valery,19,France,Southampton
L. Marseiler,21,Germany,SpVgg Unterhaching
C. Kouan,18,Ivory Coast,Perugia
J. Łukowski,22,Poland,Wisła Płock
C. Harries,21,Wales,Swansea City
P. Knechtel,22,Germany,FC Energie Cottbus
R. Lopes,26,Republic of Ireland,Shamrock Rovers
N. Phillips,21,England,Liverpool
W. Hesl,32,Germany,1. FC Kaiserslautern
S. Mohlin,22,Sweden,Malmö FF
M. Ošs,26,Latvia,Neuchâtel Xamax
N. Mohammad,26,Germany,KFC Uerdingen 05
J. Ruffels,24,England,Oxford United
G. Smith,22,United States,Sporting Kansas City
S. Bennett,27,England,Newport County
D. Frieser,24,Austria,LASK Linz
J. Burkardt,17,Germany,1. FSV Mainz 05
A. Lupu,20,Romania,Deportivo Alavés
Wang Jinxian,22,China PR,Dalian YiFang FC
A. Maziero,20,Argentina,Rosario Central
K. Moreno,17,Colombia,Deportivo Cali
Jose,24,Brazil,Daegu FC
Eliseo Falcón,21,Spain,Granada CF
S. Ramizi,26,Kosovo,Neuchâtel Xamax
J. Flannigan,22,England,Burton Albion
P. Halder,25,India,
H. Adıgüzel,18,Turkey,Akhisar Belediyespor
S. Strømnes,31,Norway,Stabæk Fotball
K. Pestka,19,Poland,Cracovia
M. Kolar,23,Croatia,Wisła Kraków
F. Brügmann,25,Germany,FC Carl Zeiss Jena
B. Urbański,20,Poland,Willem II
M. Schüler,20,Germany,FC Carl Zeiss Jena
P. Erhardt,24,Austria,SV Mattersburg
V. Sköld,28,Sweden,Örebro SK
K. Knoyle,21,England,Swindon Town
J. Torres,18,Mexico,Club Atlas
J. Coustrain,22,Republic of Ireland,Shamrock Rovers
W. Mosquera,33,Colombia,Jaguares de Córdoba
M. Chouiar,19,France,Racing Club de Lens
B. Héry,26,France,Waterford FC
A. Nilsson,27,Sweden,IF Brommapojkarna
B. Figueroa,19,Chile,Audax Italiano
R. de la Rosa,18,Mexico,Pachuca
M. Sagnan,19,France,Racing Club de Lens
Z. Bakayogo,31,Ivory Coast,Tranmere Rovers
N. Barona,20,Colombia,La Equidad
J. Sierra,21,Chile,Unión Española
A. Ryczkowski,21,Poland,Górnik Zabrze
L. Jonsson,25,Sweden,IK Sirius
C. Reppesgård,25,Norway,Sandefjord Fotball
B. Allain,26,France,Dijon FCO
M. Uusitalo,21,Finland,HJK Helsinki
T. Alarcón,18,Chile,CD O'Higgins
J. Chianese,28,Australia,Perth Glory
K. Howkins,22,England,West Bromwich Albion
B. Galindo,19,Mexico,Guadalajara
I. Minchev,27,Bulgaria,
A. Zekaj,18,Serbia,LOSC Lille
T. Vaiho,29,Sweden,Djurgårdens IF
L. Sotomayor,21,Chile,Deportes Iquique
B. Kennedy,21,Northern Ireland,Stevenage
N. Baxter,19,England,Yeovil Town
E. Rueda,22,Argentina,Argentinos Juniors
R. Hepburn-Murphy,19,England,Aston Villa
K. Gipson,22,Germany,SV Sandhausen
I. Hajtić,20,Bosnia Herzegovina,FC Würzburger Kickers
J. Vollert,20,Germany,SV Werder Bremen
K. Zapolnik,25,Poland,Górnik Zabrze
